PO NBR,Supplier,Order date,Due Date,Buyer,Bill To,Remarks,Line,Item  Number,QtyOrder,UM
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,1,LDAHV12DH6T         ,8800,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,2,LDAHV12LH6T         ,2500,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,3,LDAHV15LH6T         ,2500,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,4,LDAHV3DH6T          ,5000,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,5,LDAHV5DH6T          ,12000,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,6,LDAHV5LH6T          ,6000,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,7,LDAHV7DH6T          ,30000,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,8,LDAHV7LH6T          ,7000,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,9,LDAHV9DH6T          ,16500,PC,
PC180481,PIZ00003  ,09-23-2018,1970-01-01,301367,00038274,SEA.F     ,10,LDAHV9LH6T          ,5500,PC,
